player_id,game_id,period,shift_start,shift_end,firstName,lastName,primaryPosition,duration
8475613,2013021201,2,1703,1990,Nate,Prosser,D,287
8468493,2016020170,3,2789,3074,Ron,Hainsey,D,285
8474578,2015020812,3,3329,3600,Erik,Karlsson,D,271
8471214,2017021042,3,2737,3000,Alex,Ovechkin,LW,263
8474578,2013020074,2,1284,1546,Erik,Karlsson,D,262
8467875,2015020420,3,2423,2683,Daniel,Sedin,LW,260
8467876,2015020420,3,2423,2683,Henrik,Sedin,C,260
8471214,2014020727,2,1604,1861,Alex,Ovechkin,LW,257
8476906,2015020839,3,3335,3590,Shayne,Gostisbehere,D,255
8471303,2017021185,3,3330,3584,Alexander,Edler,D,254
8473584,2013020117,3,3353,3600,Andrew,MacDonald,D,247
8474141,2015021223,3,3328,3575,Patrick,Kane,RW,247
8478550,2015021223,3,3328,3575,Artemi,Panarin,LW,247
8470834,2016020177,3,3086,3330,Dustin,Byfuglien,D,244
8470324,2016020263,2,1920,2160,Josh,Gorges,D,240
8477499,2016020263,2,1920,2160,Rasmus,Ristolainen,D,240
8478460,2016020678,3,3271,3510,Zach,Werenski,D,239
8465009,2013020541,3,3192,3430,Zdeno,Chara,D,238
8474590,2013020253,2,1680,1916,John,Carlson,D,236
8469454,2012020239,3,2527,2759,Ilya,Kovalchuk,LW,232
8471735,2014020097,2,1637,1868,Keith,Yandle,D,231
8475793,2017020521,1,894,1125,Ryan,Johansen,C,231
8474590,2013020290,4,3671,3900,John,Carlson,D,229
8469506,2017020894,3,3372,3600,Jason,Pominville,RW,228
8474618,2017020894,3,3372,3600,Marco,Scandella,D,228
8475158,2017020894,3,3372,3600,Ryan,O'Reilly,C,228
8475169,2017020894,3,3372,3600,Evander,Kane,LW,228
8477499,2017020894,3,3372,3600,Rasmus,Ristolainen,D,228
8475171,2015020057,3,3132,3358,Oliver,Ekman-Larsson,D,226
8474578,2015020721,3,2864,3089,Erik,Karlsson,D,225
8474870,2013020611,2,1334,1559,Tyler,Johnson,C,225
8475166,2014021023,3,3237,3462,John,Tavares,C,225
8474605,2014020947,3,3037,3261,Patrick,Wiercioch,D,224
8470612,2014020144,3,3377,3600,Ryan,Getzlaf,C,223
8477498,2016020242,3,2838,3061,Darnell,Nurse,D,223
8469598,2013021228,2,2107,2328,Kevin,Bieksa,D,221
8476958,2016020947,3,3320,3541,Jaccob,Slavin,D,221
8462038,2013020253,2,1619,1839,Shane,Doan,RW,220
8474151,2016020791,2,1638,1858,Ryan,McDonagh,D,220
8474563,2015020864,3,2927,3147,Drew,Doughty,D,220
8475197,2015021194,3,3380,3600,Tyson,Barrie,D,220
8475793,2017020359,4,3632,3852,Ryan,Johansen,C,220
8476887,2017020359,4,3632,3852,Filip,Forsberg,LW,220
8476958,2017020359,4,3632,3852,Jaccob,Slavin,D,220
8470110,2014020830,2,1896,2115,Trevor,Daley,D,219
8474774,2014020128,3,3366,3585,Dalton,Prout,D,219
8475766,2016020170,2,1719,1938,Austin,Watson,LW,219
8475906,2015020544,2,2104,2323,John,Klingberg,D,219
8476279,2014020830,2,1896,2115,Jyrki,Jokipakka,D,219
8471215,2017020267,2,1675,1892,Evgeni,Malkin,C,217
8471958,2016020791,2,1638,1855,Dan,Girardi,D,217
8473548,2017020267,2,1675,1892,Phil,Kessel,RW,217
8475906,2016020090,2,1760,1976,John,Klingberg,D,216
8476885,2016021120,2,2185,2400,Jacob,Trouba,D,215
8470613,2015020607,2,1295,1509,Brent,Burns,D,214
8474098,2017020777,2,1760,1974,Colton,Sceviour,C,214
8474602,2014020265,2,1724,1938,Justin,Schultz,D,214
8474602,2012020048,2,1271,1485,Justin,Schultz,D,214
8474660,2015021028,2,1862,2076,David,Warsofsky,D,214
8475274,2015021028,2,1862,2076,Seth,Helgeson,D,214
8468309,2014020278,3,3387,3600,Mark,Streit,D,213
8471676,2014020947,3,3048,3261,Bobby,Ryan,RW,213
8473512,2014020278,3,3387,3600,Claude,Giroux,C,213
8473584,2014020646,2,1768,1981,Andrew,MacDonald,D,213
8474161,2014020278,3,3387,3600,Jakub,Voracek,RW,213
8474190,2014020278,3,3387,3600,Wayne,Simmonds,RW,213
8474578,2014020947,3,3048,3261,Erik,Karlsson,D,213
8475170,2014020278,3,3387,3600,Brayden,Schenn,C,213
8476191,2017021206,2,2176,2389,Kevan,Miller,D,213
8467329,2014020278,3,3388,3600,Vincent,Lecavalier,C,212
8470281,2015020855,2,1542,1754,Duncan,Keith,D,212
8476454,2014020555,3,3143,3354,Ryan,Nugent-Hopkins,C,211
8477355,2017020482,2,1357,1568,Will,Butcher,D,211
8478460,2017020741,2,2122,2333,Zach,Werenski,D,211
8479458,2016020425,3,3318,3529,Nikita,Zaitsev,D,211
8474056,2013020937,1,795,1005,P.K.,Subban,D,210
8466138,2015020817,2,1747,1956,Joe,Thornton,C,209
8466139,2015020817,2,1747,1956,Patrick,Marleau,C,209
8470794,2015020817,2,1747,1956,Joe,Pavelski,C,209
8471348,2014021089,2,1731,1940,Nikita,Nikitin,D,209
8474053,2015020817,2,1747,1956,Logan,Couture,C,209
8474578,2014020729,1,105,313,Erik,Karlsson,D,208
8476856,2015020057,2,2171,2379,Matt,Dumba,D,208
8470613,2017020091,2,1476,1683,Brent,Burns,D,207
8476453,2016020747,3,3393,3600,Nikita,Kucherov,RW,207
8475796,2017020777,2,1769,1974,Mark,Pysyk,D,205
8476875,2017020777,2,1769,1974,Mike,Matheson,D,205
8470600,2013020592,2,2037,2241,Ryan,Suter,D,204
8473673,2015020428,3,2678,2882,David,Schlemko,D,204
8476463,2013020592,2,2037,2241,Jonas,Brodin,D,204
8467371,2013020253,2,1636,1839,Mike,Ribeiro,C,203
8468478,2012020084,3,3034,3237,Mike,Weaver,D,203
8470613,2017020438,3,2686,2889,Brent,Burns,D,203
8470642,2013020976,2,1851,2054,Shea,Weber,D,203
8465009,2016020227,3,2978,3180,Zdeno,Chara,D,202
8471276,2017020005,1,411,613,David,Krejci,C,202
8471729,2013020401,2,1623,1825,Kris,Russell,D,202
8473584,2013020264,1,586,788,Andrew,MacDonald,D,202
8475171,2012020650,3,3398,3600,Oliver,Ekman-Larsson,D,202
8469707,2016020282,1,999,1200,PA,Parenteau,RW,201
